store_id,sku,units_on_hand,units_in_transit,snapshot_date
S001,SKU0001,104,59,2026-08-29
S001,SKU0002,211,68,2026-08-29
S001,SKU0003,378,9,2026-08-29
S001,SKU0004,52,87,2026-08-29
S001,SKU0005,499,70,2026-08-29
S001,SKU0006,225,91,2026-08-29
S001,SKU0007,69,28,2026-08-29
S001,SKU0008,377,27,2026-08-29
S001,SKU0009,111,47,2026-08-29
S001,SKU0010,49,4,2026-08-29
S001,SKU0011,131,1,2026-08-29
S001,SKU0012,470,75,2026-08-29
S001,SKU0013,209,15,2026-08-29
S001,SKU0014,143,82,2026-08-29
S001,SKU0015,301,57,2026-08-29
S001,SKU0016,457,26,2026-08-29
S001,SKU0017,47,43,2026-08-29
S001,SKU0018,472,30,2026-08-29
S001,SKU0019,313,15,2026-08-29
S001,SKU0020,47,32,2026-08-29
S001,SKU0021,405,76,2026-08-29
S001,SKU0022,274,95,2026-08-29
S001,SKU0023,322,97,2026-08-29
S001,SKU0024,123,5,2026-08-29
S001,SKU0025,243,88,2026-08-29
S001,SKU0026,141,69,2026-08-29
S001,SKU0027,85,84,2026-08-29
S001,SKU0028,387,89,2026-08-29
S001,SKU0029,373,0,2026-08-29
S001,SKU0030,474,62,2026-08-29
S001,SKU0031,418,27,2026-08-29
S001,SKU0032,407,52,2026-08-29
S001,SKU0033,454,42,2026-08-29
S001,SKU0034,51,11,2026-08-29
S001,SKU0035,257,74,2026-08-29
S001,SKU0036,117,73,2026-08-29
S001,SKU0037,142,0,2026-08-29
S001,SKU0038,218,89,2026-08-29
S001,SKU0039,178,45,2026-08-29
S001,SKU0040,385,57,2026-08-29
S001,SKU0041,284,89,2026-08-29
S001,SKU0042,84,3,2026-08-29
S001,SKU0043,378,12,2026-08-29
S001,SKU0044,321,73,2026-08-29
S001,SKU0045,10,85,2026-08-29
S001,SKU0046,140,24,2026-08-29
S001,SKU0047,88,20,2026-08-29
S001,SKU0048,119,94,2026-08-29
S001,SKU0049,23,93,2026-08-29
S001,SKU0050,91,25,2026-08-29
S001,SKU0051,423,26,2026-08-29
S001,SKU0052,101,16,2026-08-29
S001,SKU0053,151,58,2026-08-29
S001,SKU0054,31,84,2026-08-29
S001,SKU0055,230,28,2026-08-29
S001,SKU0056,316,17,2026-08-29
